"사용월","호선명","지하철역","04시-05시 승차인원","04시-05시 하차인원","05시-06시 승차인원","05시-06시 하차인원","06시-07시 승차인원","06시-07시 하차인원","07시-08시 승차인원","07시-08시 하차인원","08시-09시 승차인원","08시-09시 하차인원","09시-10시 승차인원","09시-10시 하차인원","10시-11시 승차인원","10시-11시 하차인원","11시-12시 승차인원","11시-12시 하차인원","12시-13시 승차인원","12시-13시 하차인원","13시-14시 승차인원","13시-14시 하차인원","14시-15시 승차인원","14시-15시 하차인원","15시-16시 승차인원","15시-16시 하차인원","16시-17시 승차인원","16시-17시 하차인원","17시-18시 승차인원","17시-18시 하차인원","18시-19시 승차인원","18시-19시 하차인원","19시-20시 승차인원","19시-20시 하차인원","20시-21시 승차인원","20시-21시 하차인원","21시-22시 승차인원","21시-22시 하차인원","22시-23시 승차인원","22시-23시 하차인원","23시-24시 승차인원","23시-24시 하차인원","00시-01시 승차인원","00시-01시 하차인원","01시-02시 승차인원","01시-02시 하차인원","02시-03시 승차인원","02시-03시 하차인원","03시-04시 승차인원","03시-04시 하차인원","작업일자"
"201801","2호선","강남","322","34","16324","12892","24305","59093","48481","187033","78739","375590","67460","407396","67784","200250","94697","170464","126460","177644","169894","221890","169207","185736","201144","176650","228969","173091","282054","200741","430736","289203","309645","227170","241017","96519","295431","69492","317470","58472","146063","36607","25687","10284","9","151","0","0","0","0","20180203"
"201801","2호선","교대(법원.검찰청)","6","3","2855","6636","14144","28686","28255","56403","43156","170609","34829","166083","32730","78768","41273","70432","44420","64680","57468","71456","64717","66981","70355","59008","72465","58511","98913","67104","172011","91355","91162","66542","66103","34885","73092","29655","64784","28161","27901","16295","5443","4750","1","23","0","0","0","0","20180203"
"201801","2호선","서초","6","0","1382","4956","7335","17840","15150","47094","24993","140902","26269","99071","20116","44895","29199","40277","26325","31320","37033","35100","37527","34382","41855","26100","47765","26590","63848","28112","124921","32294","55789","25347","36419","12866","39731","11973","29226","12004","9693","7245","1494","2052","0","3","1","2","0","0","20180203"
"201801","2호선","방배","19","8","3443","3190","10274","14081","26768","28984","44055","81793","32643","51307","23085","29898","25021","23460","26631","24055","29389","28827","29169","27248","32452","26905","37428","28057","46822","32773","80608","45824","38857","39756","25999","24598","26735","22955","22560","24779","9550","15045","1988","4809","0","35","0","0","0","0","20180203"
"201801","2호선","사당","153","39","12499","3953","25494","31877","73146","50323","103943","84189","71441","58696","48710","47657","47851","59022","55635","61024","62051","58537","66753","59013","65384","67452","66783","85574","77310","118695","102099","186167","77565","162091","70523","87535","80024","79589","80848","79184","47178","51639","8299","15862","7","979","0","0","0","0","20180203"
"201801","2호선","낙성대","104","14","11483","2072","26899","10465","91669","19248","146020","46426","87929","39014","45492","28223","39853","26420","43939","31276","45525","33335","39408","34959","40482","39868","41919","44117","49775","55949","63724","96341","38998","107640","27410","67109","28316","64220","21762","66099","11357","43959","1974","13953","7","266","0","0","0","0","20180203"
"201801","2호선","서울대입구(관악구청)","4671","36","29739","2800","46386","16852","140149","28373","206230","71691","129635","71870","73682","55858","69488","55173","74979","60478","84817","69396","74863","70966","77938","78940","82048","87427","95344","106608","113129","168243","70591","182875","57263","110302","57076","101106","55465","103122","28850","68798","4424","23712","4","4220","1","1","0","0","20180203"
"201801","2호선","봉천","58","3","15041","1893","28515","9707","80108","10936","115838","29101","68637","24251","37173","21678","33229","22675","35582","24482","37430","27600","31364","29431","31535","36642","33107","40308","35534","48550","39608","75646","23814","76512","17798","47628","17118","46262","13318","45122","5908","27131","982","8155","2","298","0","0","0","0","20180203"
"201801","2호선","신림","271","23","42102","5110","78085","22707","236467","34268","355318","69728","200757","60288","107464","52329","93301","60424","100179","67461","100633","77388","90656","84386","88243","102836","93215","119540","106597","153014","115323","257925","81828","286818","64517","175449","63698","161393","60259","163482","34782","109893","5621","33669","3","589","0","0","0","0","20180203"
"201801","2호선","신대방","146","27","24201","2244","37071","10482","100600","18637","142777","38033","89250","25661","49180","21782","39695","22327","41640","24016","41151","28316","35384","31164","33692","40582","35637","46904","38517","60675","49817","90049","30658","94429","21209","62388","16936","63743","12239","70237","6226","41480","1078","11519","0","129","0","0","0","0","20180203"
