date,emission_factor,Jongno,pm10_rd,MSE
2018-01-19,20,131.22488194444443,55.770833333333336,2846.656725903958
2018-01-20,1,77.23195833333334,94.875,155.63845962586797
2018-01-20,5,93.24859027777778,94.875,1.32260429226948
2018-01-20,10,114.30905555555556,94.875,188.84125766820995
2018-01-20,20,147.75715277777778,94.875,1398.261041206115
2018-01-21,1,52.837673611111114,62.145833333333336,43.32091870720003
2018-01-21,5,67.7220486111111,62.145833333333336,15.547088412061106
2018-01-21,10,88.68488888888889,62.145833333333336,352.16073489043214
2018-01-21,20,128.44256944444444,62.145833333333336,2197.6286094931515
2018-01-22,1,37.70282638888889,44.895833333333336,25.86967445141303
2018-01-22,5,53.912104166666666,44.895833333333336,40.64656987000865
2018-01-22,10,75.93415972222222,44.895833333333336,481.68885251159804
2018-01-22,20,114.55536805555556,44.895833333333336,2426.2253888582413
2018-01-23,1,23.596097222222223,19.916666666666668,6.7691046065779314
2018-01-23,5,39.95933333333333,19.916666666666668,200.85424355555554
2018-01-23,10,61.628597222222226,19.916666666666668,869.9425753357446
